Date/Time,Station,Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD
1871-08-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1871,8,21.8,0.0,,32.2,0.0,11.7,0.0,0.0,0.0,,95.5,0.0,,,11.0,,,,8.0,125.6
1871-09-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1871,9,16.0,0.0,,32.8,0.0,3.3,0.0,0.0,0.0,,33.0,0.0,,,5.0,,,,102.2,42.1
1871-10-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1871,10,10.3,0.0,,28.3,0.0,-1.1,0.0,0.5,0.0,,85.2,0.0,,,9.0,,,,242.4,2.6
1871-11-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1871,11,-0.1,0.0,,11.1,0.0,-21.7,0.0,23.9,0.0,,74.3,0.0,,,10.0,,,,543.6,0.0
1871-12-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1871,12,-7.8,0.0,,7.8,0.0,-30.6,0.0,64.9,0.0,,75.2,0.0,,,12.0,,,,798.4,0.0
1872-01-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,1,-7.3,0.0,,5.6,0.0,-23.3,0.0,34.5,0.0,,49.2,0.0,,,5.0,,,,783.8,0.0
1872-02-29,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,2,-6.3,0.0,,7.2,0.0,-18.9,0.0,81.0,0.0,,83.3,0.0,,,7.0,,,,703.4,0.0
1872-03-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,3,-6.0,0.0,,11.1,0.0,-28.9,0.0,74.3,0.0,,76.9,0.0,,,11.0,,,,744.7,0.0
1872-04-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,4,7.2,0.0,,26.7,0.0,-3.9,0.0,21.1,0.0,,36.1,0.0,,,5.0,,,,323.0,0.0
1872-05-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,5,15.0,0.0,,28.9,0.0,3.3,0.0,0.0,0.0,,47.3,0.0,,,10.0,,,,94.7,2.4
1872-06-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,6,20.3,0.0,,33.3,0.0,7.8,0.0,0.0,0.0,,57.0,0.0,,,9.0,,,,25.9,94.4
1872-07-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,7,22.5,0.0,,34.4,0.0,12.8,0.0,0.0,0.0,,86.4,0.0,,,9.0,,,,4.5,144.5
1872-08-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,8,22.8,0.0,,34.4,0.0,10.6,0.0,0.0,0.0,,83.5,0.0,,,12.0,,,,7.3,156.2
1872-09-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,9,17.8,0.0,,28.9,0.0,7.2,0.0,0.0,0.0,,162.8,0.0,,,14.0,,,,37.7,30.4
1872-10-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,10,9.3,0.0,,25.0,0.0,-0.6,0.0,0.0,0.0,,155.6,0.0,,,9.0,,,,270.6,0.6
1872-11-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,11,1.2,0.0,,11.1,0.0,-12.2,0.0,27.2,0.0,,101.3,0.0,,,9.0,,,,503.9,0.0
1872-12-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1872,12,-10.4,0.0,,2.2,0.0,-27.8,0.0,110.1,0.0,,110.1,0.0,,,15.0,,,,881.6,0.0
1873-01-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,1,-9.8,0.0,,5.0,0.0,-26.1,0.0,104.8,0.0,,132.0,0.0,,,11.0,,,,862.6,0.0
1873-02-28,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,2,-7.9,0.0,,6.7,0.0,-23.3,0.0,42.3,0.0,,44.5,0.0,,,5.0,,,,724.5,0.0
1873-03-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,3,-2.0,0.0,,7.2,0.0,-15.6,0.0,85.5,0.0,,130.6,0.0,,,9.0,,,,619.9,0.0
1873-04-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,4,5.5,0.0,,21.7,0.0,-1.7,0.0,0.0,0.0,,76.5,0.0,,,13.0,,,,374.4,0.0
1873-05-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,5,13.4,0.0,,27.2,0.0,1.7,0.0,0.0,0.0,,35.9,0.0,,,11.0,,,,157.7,15.7
1873-06-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,6,18.7,0.0,,29.4,0.0,8.9,0.0,0.0,0.0,,76.3,0.0,,,10.0,,,,27.6,47.4
1873-07-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,7,21.9,0.0,,32.2,0.0,12.2,0.0,0.0,0.0,,64.9,0.0,,,10.0,,,,3.4,123.7
1873-08-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,8,20.8,0.0,,29.4,0.0,9.4,0.0,0.0,0.0,,43.5,0.0,,,5.0,,,,0.8,88.1
1873-09-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,9,15.8,0.0,,29.4,0.0,4.4,0.0,0.0,0.0,,118.2,0.0,,,12.0,,,,87.1,20.0
1873-10-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,10,10.6,0.0,,27.2,0.0,-3.3,0.0,1.3,0.0,,168.6,0.0,,,14.0,,,,230.1,0.3
1873-11-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1873,11,-2.9,0.0,,12.8,0.0,-15.6,0.0,110.8,0.0,,134.0,0.0,,,12.0,,,,626.7,0.0
1874-01-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,1,-8.3,0.0,,8.3,0.0,-28.3,0.0,46.2,0.0,,143.2,0.0,,,12.0,,,,815.9,0.0
1874-02-28,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,2,-9.8,0.0,,5.6,0.0,-27.8,0.0,44.5,0.0,,63.6,0.0,,,9.0,,,,778.6,0.0
1874-03-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,3,-4.5,0.0,,11.1,0.0,-19.4,0.0,63.2,0.0,,91.9,0.0,,,14.0,,,,696.3,0.0
1874-04-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,4,0.0,0.0,,11.1,0.0,-17.8,0.0,51.3,0.0,,78.4,0.0,,,12.0,,,,540.4,0.0
1874-05-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,5,11.3,0.0,,28.9,0.0,-1.1,0.0,2.3,0.0,,91.6,0.0,,,11.0,,,,210.2,1.6
1874-06-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,6,17.2,0.0,,29.4,0.0,7.2,0.0,0.0,0.0,,97.3,0.0,,,12.0,,,,54.1,29.8
1874-07-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,7,20.3,0.0,,30.6,0.0,12.2,0.0,0.0,0.0,,152.4,0.0,,,13.0,,,,7.5,79.1
1874-08-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,8,19.2,0.0,,28.9,0.0,9.4,0.0,0.0,0.0,,39.4,0.0,,,4.0,,,,19.0,55.7
1874-09-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,9,16.8,0.0,,28.9,0.0,6.1,0.0,0.0,0.0,,78.6,0.0,,,7.0,,,,59.1,22.5
1874-10-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,10,8.8,0.0,,18.9,0.0,0.6,0.0,0.0,0.0,,39.8,0.0,,,9.0,,,,285.0,0.0
1874-11-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,11,-0.4,0.0,,12.2,0.0,-17.2,0.0,45.7,0.0,,56.7,0.0,,,10.0,,,,551.1,0.0
1874-12-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1874,12,-9.8,0.0,,6.7,0.0,-27.2,0.0,54.6,0.0,,56.1,0.0,,,13.0,,,,861.4,0.0
1875-01-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,1,-14.4,0.0,,-1.1,0.0,-25.0,0.0,88.9,0.0,,88.9,0.0,,,11.0,,,,1003.2,0.0
1875-02-28,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,2,-13.4,0.0,,6.1,0.0,-31.1,0.0,36.7,0.0,,43.5,0.0,,,8.0,,,,878.1,0.0
1875-03-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,3,-6.0,0.0,,5.0,0.0,-23.3,0.0,38.0,0.0,,58.2,0.0,,,11.0,,,,742.5,0.0
1875-04-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,4,2.3,0.0,,16.1,0.0,-11.7,0.0,18.5,0.0,,46.5,0.0,,,7.0,,,,470.3,0.0
1875-05-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,5,11.6,0.0,,27.8,0.0,-1.1,0.0,4.1,0.0,,130.4,0.0,,,14.0,,,,205.8,8.9
1875-06-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,6,17.8,0.0,,28.9,0.0,4.4,0.0,0.0,0.0,,83.0,0.0,,,8.0,,,,42.5,36.5
1875-07-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,7,19.7,0.0,,26.7,0.0,10.0,0.0,0.0,0.0,,92.5,0.0,,,8.0,,,,8.2,62.1
1875-08-31,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,8,20.6,0.0,,30.6,0.0,10.6,0.0,0.0,0.0,,65.8,0.0,,,8.0,,,,13.6,94.2
1875-09-30,Montreal (McTavish/McGill),MONTREAL MCGILL,-73.583,45.5,7025280,QC,1875,9,13.1,0.0,,30.6,0.0,1.1,0.0,0.0,0.0,,131.5,0.0,,,11.0,,,,164.5,17.2
