             Global Mean CO2 Mixing Ratio (ppm): Future Scenarios
                            2 Degree C Scenario
----------------------------------------------------------------------------------
Year	MixR
2000	370
2001	371.7
2002	373.4
2003	375.1
2004	376.9
2005	378.7
2006	380.5
2007	382.3
2008	384.2
2009	386.2
2010	388
2011	390
2012	392
2013	394
2014	396
2015	398
2016	400.1
2017	402.3
2018	404.4
2019	406.5
2020	408.7
2021	410.9
2022	413.1
2023	415.4
2024	417.7
2025	420
2026	422.4
2027	424.7
2028	427.1
2029	429.5
2030	432
2031	434.4
2032	436.9
2033	439.5
2034	442
2035	444.5
2036	447.1
2037	449.8
2038	452.5
2039	455.1
2040	457.8
2041	460.5
2042	463.2
2043	466
2044	468.9
2045	471.7
2046	474.5
2047	477.4
2048	480.3
2049	483.3
2050	486.2
2051	489.2
2052	492.1
2053	494.9
2054	497.6
2055	500.4
2056	503
2057	505.6
2058	508.1
2059	510.6
2060	513
2061	515.4
2062	517.7
2063	519.8
2064	522
2065	524.1
2066	526.2
2067	528.1
2068	530.1
2069	532
2070	533.8
2071	535.5
2072	537.2
2073	538.8
2074	540.3
2075	541.8
2076	543.3
2077	544.7
2078	546
2079	547.3
2080	548.5
2081	549.7
2082	550.8
2083	551.7
2084	552.7
2085	553.6
2086	554.5
2087	555.2
2088	556
2089	556.7
2090	557.2
2091	557.8
2092	558.3
2093	558.7
2094	559
2095	559.3
2096	559.6
2097	559.8
2098	560
2099	560



