Year,CH4
2023-01-01,1921.7
2024-01-01,1954.025378270525
2025-01-01,1985.5608214493946
2026-01-01,2016.134004710495
2027-01-01,2045.8322889586816
2028-01-01,2074.655674193954
2029-01-01,2102.6795298361044
2030-01-01,2129.750720061952
2031-01-01,2155.947011274886
2032-01-01,2181.268403474906
2033-01-01,2205.7806715803376
2034-01-01,2229.3498687709325
2035-01-01,2252.0441669486136
2036-01-01,2273.863566113381
2037-01-01,2294.864246682094
2038-01-01,2314.931450837436
2039-01-01,2334.1237559798647
2040-01-01,2352.44116210938
2041-01-01,2370.0009765625
2042-01-01,2387.0810546875
2043-01-01,2403.52099609375
2044-01-01,2419.3408203125
2045-01-01,2434.5908203125
2046-01-01,2449.32080078125
2047-01-01,2463.55078125
2048-01-01,2477.33081054688
2049-01-01,2490.69091796875
2050-01-01,2503.66088867188
2051-01-01,2516.2607421875
2052-01-01,2528.41064453125
2053-01-01,2540.02075195313
2054-01-01,2551.15063476563
2055-01-01,2561.81079101563
2056-01-01,2572.05053710938
2057-01-01,2581.890625
2058-01-01,2591.36059570313
2059-01-01,2600.50048828125
2060-01-01,2609.32055664063
2061-01-01,2617.8505859375
2062-01-01,2625.9404296875
2063-01-01,2633.4404296875
2064-01-01,2640.400390625
2065-01-01,2646.8603515625
2066-01-01,2652.85034179688
2067-01-01,2658.41040039063
2068-01-01,2663.5703125
2069-01-01,2668.3603515625
2070-01-01,2672.81030273438
2071-01-01,2676.94018554688
2072-01-01,2680.63037109375
2073-01-01,2683.75024414063
2074-01-01,2686.35009765625
2075-01-01,2688.47021484375
2076-01-01,2690.13012695313
2077-01-01,2691.39013671875
2078-01-01,2692.26000976563
2079-01-01,2692.7900390625
2080-01-01,2692.98999023438
2081-01-01,2692.89013671875
2082-01-01,2692.44995117188
2083-01-01,2691.64013671875
2084-01-01,2690.47998046875
2085-01-01,2688.98999023438
2086-01-01,2687.21997070313
2087-01-01,2685.169921875
2088-01-01,2682.86987304688
2089-01-01,2680.34985351563
2090-01-01,2677.61987304688
2091-01-01,2674.69995117188
2092-01-01,2671.65991210938
2093-01-01,2668.5498046875
2094-01-01,2665.3798828125
2095-01-01,2662.15991210938
2096-01-01,2658.89990234375
2097-01-01,2655.59985351563
2098-01-01,2652.26000976563
2099-01-01,2648.90991210938
