Year,Data Source,CO2
1850-01-01,Ice-Core Data Adjusted for Global Mean,285.2
1851-01-01,Ice-Core Data Adjusted for Global Mean,285.1
1852-01-01,Ice-Core Data Adjusted for Global Mean,285.0
1853-01-01,Ice-Core Data Adjusted for Global Mean,285.0
1854-01-01,Ice-Core Data Adjusted for Global Mean,284.9
1855-01-01,Ice-Core Data Adjusted for Global Mean,285.1
1856-01-01,Ice-Core Data Adjusted for Global Mean,285.4
1857-01-01,Ice-Core Data Adjusted for Global Mean,285.6
1858-01-01,Ice-Core Data Adjusted for Global Mean,285.9
1859-01-01,Ice-Core Data Adjusted for Global Mean,286.1
1860-01-01,Ice-Core Data Adjusted for Global Mean,286.4
1861-01-01,Ice-Core Data Adjusted for Global Mean,286.6
1862-01-01,Ice-Core Data Adjusted for Global Mean,286.7
1863-01-01,Ice-Core Data Adjusted for Global Mean,286.8
1864-01-01,Ice-Core Data Adjusted for Global Mean,286.9
1865-01-01,Ice-Core Data Adjusted for Global Mean,287.1
1866-01-01,Ice-Core Data Adjusted for Global Mean,287.2
1867-01-01,Ice-Core Data Adjusted for Global Mean,287.3
1868-01-01,Ice-Core Data Adjusted for Global Mean,287.4
1869-01-01,Ice-Core Data Adjusted for Global Mean,287.5
1870-01-01,Ice-Core Data Adjusted for Global Mean,287.7
1871-01-01,Ice-Core Data Adjusted for Global Mean,287.9
1872-01-01,Ice-Core Data Adjusted for Global Mean,288.0
1873-01-01,Ice-Core Data Adjusted for Global Mean,288.2
1874-01-01,Ice-Core Data Adjusted for Global Mean,288.4
1875-01-01,Ice-Core Data Adjusted for Global Mean,288.6
1876-01-01,Ice-Core Data Adjusted for Global Mean,288.7
1877-01-01,Ice-Core Data Adjusted for Global Mean,288.9
1878-01-01,Ice-Core Data Adjusted for Global Mean,289.5
1879-01-01,Ice-Core Data Adjusted for Global Mean,290.1
1880-01-01,Ice-Core Data Adjusted for Global Mean,290.8
1881-01-01,Ice-Core Data Adjusted for Global Mean,291.4
1882-01-01,Ice-Core Data Adjusted for Global Mean,292.0
1883-01-01,Ice-Core Data Adjusted for Global Mean,292.5
1884-01-01,Ice-Core Data Adjusted for Global Mean,292.9
1885-01-01,Ice-Core Data Adjusted for Global Mean,293.3
1886-01-01,Ice-Core Data Adjusted for Global Mean,293.8
1887-01-01,Ice-Core Data Adjusted for Global Mean,294.0
1888-01-01,Ice-Core Data Adjusted for Global Mean,294.1
1889-01-01,Ice-Core Data Adjusted for Global Mean,294.2
1890-01-01,Ice-Core Data Adjusted for Global Mean,294.4
1891-01-01,Ice-Core Data Adjusted for Global Mean,294.6
1892-01-01,Ice-Core Data Adjusted for Global Mean,294.8
1893-01-01,Ice-Core Data Adjusted for Global Mean,294.7
1894-01-01,Ice-Core Data Adjusted for Global Mean,294.8
1895-01-01,Ice-Core Data Adjusted for Global Mean,294.8
1896-01-01,Ice-Core Data Adjusted for Global Mean,294.9
1897-01-01,Ice-Core Data Adjusted for Global Mean,294.9
1898-01-01,Ice-Core Data Adjusted for Global Mean,294.9
1899-01-01,Ice-Core Data Adjusted for Global Mean,295.3
1900-01-01,Ice-Core Data Adjusted for Global Mean,295.7
1901-01-01,Ice-Core Data Adjusted for Global Mean,296.2
1902-01-01,Ice-Core Data Adjusted for Global Mean,296.6
1903-01-01,Ice-Core Data Adjusted for Global Mean,297.0
1904-01-01,Ice-Core Data Adjusted for Global Mean,297.5
1905-01-01,Ice-Core Data Adjusted for Global Mean,298.0
1906-01-01,Ice-Core Data Adjusted for Global Mean,298.4
1907-01-01,Ice-Core Data Adjusted for Global Mean,298.8
1908-01-01,Ice-Core Data Adjusted for Global Mean,299.3
1909-01-01,Ice-Core Data Adjusted for Global Mean,299.7
1910-01-01,Ice-Core Data Adjusted for Global Mean,300.1
1911-01-01,Ice-Core Data Adjusted for Global Mean,300.6
1912-01-01,Ice-Core Data Adjusted for Global Mean,301.0
1913-01-01,Ice-Core Data Adjusted for Global Mean,301.3
1914-01-01,Ice-Core Data Adjusted for Global Mean,301.4
1915-01-01,Ice-Core Data Adjusted for Global Mean,301.6
1916-01-01,Ice-Core Data Adjusted for Global Mean,302.0
1917-01-01,Ice-Core Data Adjusted for Global Mean,302.4
1918-01-01,Ice-Core Data Adjusted for Global Mean,302.8
1919-01-01,Ice-Core Data Adjusted for Global Mean,303.0
1920-01-01,Ice-Core Data Adjusted for Global Mean,303.4
1921-01-01,Ice-Core Data Adjusted for Global Mean,303.7
1922-01-01,Ice-Core Data Adjusted for Global Mean,304.1
1923-01-01,Ice-Core Data Adjusted for Global Mean,304.5
1924-01-01,Ice-Core Data Adjusted for Global Mean,304.9
1925-01-01,Ice-Core Data Adjusted for Global Mean,305.3
1926-01-01,Ice-Core Data Adjusted for Global Mean,305.8
1927-01-01,Ice-Core Data Adjusted for Global Mean,306.2
1928-01-01,Ice-Core Data Adjusted for Global Mean,306.6
1929-01-01,Ice-Core Data Adjusted for Global Mean,307.2
1930-01-01,Ice-Core Data Adjusted for Global Mean,307.5
1931-01-01,Ice-Core Data Adjusted for Global Mean,308.0
1932-01-01,Ice-Core Data Adjusted for Global Mean,308.3
1933-01-01,Ice-Core Data Adjusted for Global Mean,308.9
1934-01-01,Ice-Core Data Adjusted for Global Mean,309.3
1935-01-01,Ice-Core Data Adjusted for Global Mean,309.7
1936-01-01,Ice-Core Data Adjusted for Global Mean,310.1
1937-01-01,Ice-Core Data Adjusted for Global Mean,310.6
1938-01-01,Ice-Core Data Adjusted for Global Mean,311.0
1939-01-01,Ice-Core Data Adjusted for Global Mean,311.2
1940-01-01,Ice-Core Data Adjusted for Global Mean,311.3
1941-01-01,Ice-Core Data Adjusted for Global Mean,311.0
1942-01-01,Ice-Core Data Adjusted for Global Mean,310.7
1943-01-01,Ice-Core Data Adjusted for Global Mean,310.5
1944-01-01,Ice-Core Data Adjusted for Global Mean,310.2
1945-01-01,Ice-Core Data Adjusted for Global Mean,310.3
1946-01-01,Ice-Core Data Adjusted for Global Mean,310.3
1947-01-01,Ice-Core Data Adjusted for Global Mean,310.4
1948-01-01,Ice-Core Data Adjusted for Global Mean,310.5
1949-01-01,Ice-Core Data Adjusted for Global Mean,310.9
1950-01-01,Ice-Core Data Adjusted for Global Mean,311.3
1951-01-01,Ice-Core Data Adjusted for Global Mean,311.8
1952-01-01,Ice-Core Data Adjusted for Global Mean,312.2
1953-01-01,Ice-Core Data Adjusted for Global Mean,312.6
1954-01-01,Ice-Core Data Adjusted for Global Mean,313.2
1955-01-01,Ice-Core Data Adjusted for Global Mean,313.7
1956-01-01,Ice-Core Data Adjusted for Global Mean,314.3
1957-01-01,Ice-Core Data Adjusted for Global Mean,314.8
1958-01-01,SIO Mauna Loa & South Pole Adjusted for Global Mean,315.34
1959-01-01,,315.98
1960-01-01,,316.91
1961-01-01,,317.64
1962-01-01,,318.45
1963-01-01,,318.99
1964-01-01,,319.62
1965-01-01,,320.04
1966-01-01,,321.37
1967-01-01,,322.18
1968-01-01,,323.05
1969-01-01,,324.62
1970-01-01,,325.68
1971-01-01,,326.32
1972-01-01,,327.46
1973-01-01,,329.68
1974-01-01,,330.19
1975-01-01,,331.13
1976-01-01,,332.03
1977-01-01,,333.84
1978-01-01,,335.41
1979-01-01,,336.84
1980-01-01,,338.76
1981-01-01,,340.12
1982-01-01,,341.48
1983-01-01,,343.15
1984-01-01,,344.87
1985-01-01,,346.35
1986-01-01,,347.61
1987-01-01,,349.31
1988-01-01,,351.69
1989-01-01,,353.2
1990-01-01,,354.45
1991-01-01,,355.7
1992-01-01,,356.54
1993-01-01,,357.21
1994-01-01,,358.96
1995-01-01,,360.97
1996-01-01,,362.74
1997-01-01,,363.88
1998-01-01,,366.84
1999-01-01,,368.54
2000-01-01,,369.71
2001-01-01,,371.32
2002-01-01,,373.45
2003-01-01,,375.98
2004-01-01,,377.7
2005-01-01,,379.98
2006-01-01,,382.09
2007-01-01,,384.02
2008-01-01,,385.83
2009-01-01,,387.64
2010-01-01,,390.1
2011-01-01,,391.85
2012-01-01,,394.06
2013-01-01,,396.74
2014-01-01,,398.81
2015-01-01,,401.01
2016-01-01,,404.41
2017-01-01,,406.76
2018-01-01,,408.72
2019-01-01,,411.65
2020-01-01,,414.21
2021-01-01,,416.41
2022-01-01,,418.53
2023-01-01,,421.08
2024-01-01,,424.61
2025-01-01,,427.7966443099467
2026-01-01,,430.97328292423146
2027-01-01,,434.1486242983382
2028-01-01,,437.32266843226677
2029-01-01,,440.50410600135046
2030-01-01,,443.67555210084015
2031-01-01,,446.84570096015176
2032-01-01,,450.0145525792853
2033-01-01,,453.190783407506
2034-01-01,,456.3570369922007
2035-01-01,,459.52199333671723
2036-01-01,,462.6856524410557
2037-01-01,,465.85667652841346
2038-01-01,,469.01773759831315
2039-01-01,,472.1775014280347
2040-01-01,,475.335968017578
2041-01-01,,478.503967285156
2042-01-01,,481.673950195313
2043-01-01,,484.837951660156
2044-01-01,,487.995941162109
2045-01-01,,491.149963378906
2046-01-01,,494.299957275391
2047-01-01,,497.446960449219
2048-01-01,,500.591949462891
2049-01-01,,503.733947753906
2050-01-01,,506.874969482422
2051-01-01,,510.013946533203
2052-01-01,,513.136962890625
2053-01-01,,516.22998046875
2054-01-01,,519.291931152344
2055-01-01,,522.325927734375
2056-01-01,,525.331970214844
2057-01-01,,528.309936523438
2058-01-01,,531.260986328125
2059-01-01,,534.185974121094
2060-01-01,,537.0849609375
2061-01-01,,539.957946777344
2062-01-01,,542.794982910156
2063-01-01,,545.586975097656
2064-01-01,,548.3349609375
2065-01-01,,551.038940429688
2066-01-01,,553.699951171875
2067-01-01,,556.318969726563
2068-01-01,,558.894958496094
2069-01-01,,561.430969238281
2070-01-01,,563.924987792969
2071-01-01,,566.379943847656
2072-01-01,,568.77197265625
2073-01-01,,571.082946777344
2074-01-01,,573.31396484375
2075-01-01,,575.465942382813
2076-01-01,,577.539978027344
2077-01-01,,579.536987304688
2078-01-01,,581.457946777344
2079-01-01,,583.303955078125
2080-01-01,,585.073974609375
2081-01-01,,586.769958496094
2082-01-01,,588.377990722656
2083-01-01,,589.885986328125
2084-01-01,,591.295959472656
2085-01-01,,592.608947753906
2086-01-01,,593.824951171875
2087-01-01,,594.944946289063
2088-01-01,,595.969970703125
2089-01-01,,596.899963378906
2090-01-01,,597.734985351563
2091-01-01,,598.476989746094
2092-01-01,,599.149963378906
2093-01-01,,599.776000976563
2094-01-01,,600.35498046875
2095-01-01,,600.885986328125
2096-01-01,,601.365966796875
2097-01-01,,601.796997070313
2098-01-01,,602.177001953125
2099-01-01,,602.505004882813
