Year,CO2
2024-01-01,424.61
2025-01-01,427.7691669614699
2026-01-01,430.9502386294758
2027-01-01,434.16180483439933
2028-01-01,437.40386557624026
2029-01-01,440.68542864765794
2030-01-01,443.98856201001064
2031-01-01,447.322189909281
2032-01-01,450.6863123454689
2033-01-01,454.0902715268344
2034-01-01,457.51546658353396
2035-01-01,460.97115617715104
2036-01-01,464.45734030768574
2037-01-01,467.983695598999
2038-01-01,471.53095235004554
2039-01-01,475.1087036380095
2040-01-01,478.716949462891
2041-01-01,482.365966796875
2042-01-01,486.032958984375
2043-01-01,489.702941894531
2044-01-01,493.377960205078
2045-01-01,497.058959960938
2046-01-01,500.746948242188
2047-01-01,504.443939208984
2048-01-01,508.149963378906
2049-01-01,511.866943359375
2050-01-01,515.593933105469
2051-01-01,519.331970214844
2052-01-01,523.073974609375
2053-01-01,526.812927246094
2054-01-01,530.547973632813
2055-01-01,534.280944824219
2056-01-01,538.012939453125
2057-01-01,541.743957519531
2058-01-01,545.474975585938
2059-01-01,549.205932617188
2060-01-01,552.936950683594
2061-01-01,556.66796875
2062-01-01,560.390930175781
2063-01-01,564.096923828125
2064-01-01,567.786926269531
2065-01-01,571.461975097656
2066-01-01,575.120971679688
2067-01-01,578.764953613281
2068-01-01,582.393981933594
2069-01-01,586.008972167969
2070-01-01,589.609985351563
2071-01-01,593.196960449219
2072-01-01,596.739929199219
2073-01-01,600.2109375
2074-01-01,603.613952636719
2075-01-01,606.948974609375
2076-01-01,610.216979980469
2077-01-01,613.419982910156
2078-01-01,616.557983398438
2079-01-01,619.630981445313
2080-01-01,622.639953613281
2081-01-01,625.5849609375
2082-01-01,628.462951660156
2083-01-01,631.27197265625
2084-01-01,634.011962890625
2085-01-01,636.681945800781
2086-01-01,639.282958984375
2087-01-01,641.81396484375
2088-01-01,644.275939941406
2089-01-01,646.6689453125
2090-01-01,648.991943359375
2091-01-01,651.244995117188
2092-01-01,653.428955078125
2093-01-01,655.544982910156
2094-01-01,657.590942382813
2095-01-01,659.567993164063
2096-01-01,661.474975585938
2097-01-01,663.311950683594
2098-01-01,665.078979492188
2099-01-01,666.776977539063
