,Population
1801-01-01,9000.0
1802-01-01,9389.547376593555
1803-01-01,9788.026456649739
1804-01-01,10195.437240168552
1805-01-01,10612.93266022924
1806-01-01,11038.231321093763
1807-01-01,11472.461685420916
1808-01-01,11915.623753210699
1809-01-01,12368.968406266387
1810-01-01,12830.018351401879
1811-01-01,13300.0
1812-01-01,13778.913352060752
1813-01-01,14268.107238111443
1814-01-01,14764.908467517896
1815-01-01,15270.64140038699
1816-01-01,15785.306036718714
1817-01-01,16321.213275740205
1818-01-01,16886.29872168718
1819-01-01,17481.98470372157
1820-01-01,18108.27122184338
1821-01-01,18767.0
1822-01-01,19454.571427381816
1823-01-01,20172.74339085106
1824-01-01,20921.515890407714
1825-01-01,21703.066228030504
1826-01-01,22513.12363684717
1827-01-01,23364.64570154777
1828-01-01,24268.49654192883
1829-01-01,25227.36770781818
1830-01-01,26236.019466068858
1831-01-01,27297.0
1832-01-01,28410.309309611595
1833-01-01,29579.212803551287
1834-01-01,30797.32303103251
1835-01-01,32067.762034194187
1836-01-01,33390.52981303633
1837-01-01,34751.761216677296
1838-01-01,36126.31350301211
1839-01-01,37517.88253986756
1840-01-01,38926.46832724364
1841-01-01,40356.0
1842-01-01,41798.66590965163
1843-01-01,43258.34856982391
1844-01-01,44735.0479805168
1845-01-01,46232.8798892566
1846-01-01,47743.65942222506
1847-01-01,49357.67303717957
1848-01-01,51161.13806558556
1849-01-01,53159.77478599392
1850-01-01,55342.66168627121
1851-01-01,57715.0
1852-01-01,60276.78972718027
1853-01-01,63035.82874827734
1854-01-01,65977.04034732892
1855-01-01,69107.70335983198
1856-01-01,72427.81778578652
1857-01-01,75884.34764209729
1858-01-01,79395.493674551
1859-01-01,82970.61220282695
1860-01-01,86609.70322692512
1861-01-01,90323.0
1862-01-01,94090.21128285446
1863-01-01,97921.39506153119
1864-01-01,101816.55133603008
1865-01-01,105786.61490813695
1866-01-01,109809.89144139216
1867-01-01,113862.14489510658
1868-01-01,117908.37969391722
1869-01-01,121959.65665582877
1870-01-01,125993.83765536628
1871-01-01,130022.0
1872-01-01,134044.1436897299
1873-01-01,138071.2635395222
1874-01-01,142081.35342997898
1875-01-01,146085.42466553202
1876-01-01,150083.47724618122
1877-01-01,154337.02670918804
1878-01-01,159073.41493592082
1879-01-01,164303.58769671904
1880-01-01,170027.54499158278
1881-01-01,176263.0
1882-01-01,182975.87919733464
1883-01-01,190182.5429287348
1884-01-01,197882.99119420038
1885-01-01,206100.35221697454
1886-01-01,214789.72238491103
1887-01-01,223517.5126463073
1888-01-01,231828.35856055736
1889-01-01,239743.31453378993
1890-01-01,247219.12944046804
1891-01-01,254278.0
1892-01-01,260919.926212386
1893-01-01,267161.39010100946
1894-01-01,272968.2853058234
1895-01-01,278358.23616349127
1896-01-01,283331.24267401296
1897-01-01,288851.5149742331
1898-01-01,295835.99141915806
1899-01-01,304297.7310717608
1900-01-01,314236.73393204156
1901-01-01,325653.0
1902-01-01,338546.5292756365
1903-01-01,352917.3217589507
1904-01-01,368765.37744994287
1905-01-01,386140.19216820394
1906-01-01,404946.8215710111
1907-01-01,424003.7109155282
1908-01-01,442083.85693578667
1909-01-01,459232.77659899043
1910-01-01,475356.75996162446
1911-01-01,490504.0
1912-01-01,504674.4967141171
1913-01-01,517903.0557032175
1914-01-01,530117.3897597101
1915-01-01,541354.9804919444
1916-01-01,551615.8278999202
1917-01-01,562133.762251858
1918-01-01,574061.0377542881
1919-01-01,587424.4269114902
1920-01-01,602223.9297234644
1921-01-01,618506.0
1922-01-01,636181.6646794768
1923-01-01,655293.4430137258
1924-01-01,675841.3350027467
1925-01-01,697887.5434677729
1926-01-01,721311.5973242963
1927-01-01,744514.2860532601
1928-01-01,765838.1308723327
1929-01-01,785333.8249464333
1930-01-01,802894.8344281622
1931-01-01,818577.0
1932-01-01,832380.3216619465
1933-01-01,844334.8884058878
1934-01-01,854375.3747304906
1935-01-01,862537.0171452021
1936-01-01,868819.8156500227
1937-01-01,874473.7352662417
1938-01-01,880708.3535090927
1939-01-01,887538.3050364166
1940-01-01,894963.5898482134
1941-01-01,903007.0
1942-01-01,911624.5824308372
1943-01-01,920837.4981461478
1944-01-01,930645.747145931
1945-01-01,941078.6501547121
1946-01-01,952079.1967735358
1947-01-01,963895.1538052023
1948-01-01,976746.598378081
1949-01-01,990672.9992438458
1950-01-01,1005598.2558513165
1951-01-01,1021559.0
1952-01-01,1038555.2316898957
1953-01-01,1056637.7752538198
1954-01-01,1075707.8189783078
1955-01-01,1095813.350244008
1956-01-01,1116954.3690509207
1957-01-01,1137720.2503522856
1958-01-01,1156524.7226797084
1959-01-01,1173427.1262387813
1960-01-01,1188427.4610295047
1961-01-01,1201559.0
1962-01-01,1212749.986106713
1963-01-01,1222038.903445077
1964-01-01,1229425.7520150905
1965-01-01,1234922.9458985184
1966-01-01,1238500.445784522
1967-01-01,1239637.0257214014
1968-01-01,1237793.8345283826
1969-01-01,1232953.5655485715
1970-01-01,1225142.668339235
1971-01-01,1214352.0
1972-01-01,1200581.5605308667
1973-01-01,1183781.3658824037
1974-01-01,1164043.220396953
1975-01-01,1141325.3037816035
