             Global Mean CO2 Mixing Ratio (ppm): Future Scenarios
                             Alternative Scenario        
----------------------------------------------------------------------------------
Year	MixR
2000	370
2001	371.7
2002	373.4
2003	375.1
2004	376.8
2005	378.4
2006	380.1
2007	381.7
2008	383.4
2009	385
2010	386.6
2011	388.2
2012	389.9
2013	391.5
2014	393.1
2015	394.6
2016	396.2
2017	397.8
2018	399.4
2019	400.9
2020	402.5
2021	404
2022	405.5
2023	407
2024	408.5
2025	410
2026	411.5
2027	413
2028	414.5
2029	416
2030	417.5
2031	418.9
2032	420.4
2033	421.8
2034	423.2
2035	424.6
2036	426.1
2037	427.5
2038	428.9
2039	430.2
2040	431.6
2041	433
2042	434.4
2043	435.7
2044	437.1
2045	438.4
2046	439.8
2047	441.1
2048	442.4
2049	443.7
2050	445
2051	446.2
2052	447.4
2053	448.5
2054	449.6
2055	450.8
2056	451.8
2057	452.9
2058	453.9
2059	454.9
2060	455.9
2061	456.9
2062	457.8
2063	458.7
2064	459.6
2065	460.4
2066	461.3
2067	462.1
2068	462.9
2069	463.6
2070	464.4
2071	465.1
2072	465.7
2073	466.4
2074	467
2075	467.6
2076	468.2
2077	468.8
2078	469.3
2079	469.9
2080	470.4
2081	470.8
2082	471.2
2083	471.7
2084	472.1
2085	472.4
2086	472.8
2087	473.1
2088	473.4
2089	473.6
2090	473.9
2091	474.1
2092	474.3
2093	474.5
2094	474.6
2095	474.8
2096	474.9
2097	474.9
2098	475
2099	475

