Year,CH4
1850-01-01,791.6
1851-01-01,792.8590682429463
1852-01-01,794.1565021942454
1853-01-01,795.4932886676147
1854-01-01,796.8594046548312
1855-01-01,798.2557430133381
1856-01-01,799.6795917741322
1857-01-01,801.1322394412867
1858-01-01,802.6030298853013
1859-01-01,804.0931873945401
1860-01-01,805.6
1861-01-01,807.1249388523719
1862-01-01,808.6569527883556
1863-01-01,810.1974784834979
1864-01-01,811.743803968795
1865-01-01,813.2974639978157
1866-01-01,814.8472504609399
1867-01-01,816.3946933771567
1868-01-01,817.9370807774621
1869-01-01,819.475891974564
1870-01-01,821.0
1871-01-01,822.5129313273385
1872-01-01,824.0220847619547
1873-01-01,825.5410477819186
1874-01-01,827.070962523938
1875-01-01,828.625388064841
1876-01-01,830.2137453648799
1877-01-01,831.8499940117127
1878-01-01,833.5346352369835
1879-01-01,835.2814969129954
1880-01-01,837.1
1881-01-01,839.0001388006339
1882-01-01,840.9573474474669
1883-01-01,842.9578635576357
1884-01-01,844.982835501336
1885-01-01,847.0189652821948
1886-01-01,849.0362318143275
1887-01-01,851.0213476422798
1888-01-01,852.955461136247
1889-01-01,854.8247149873395
1890-01-01,856.6
1891-01-01,858.2817307971574
1892-01-01,859.92132902998
1893-01-01,861.5889191182587
1894-01-01,863.3410144264104
1895-01-01,865.247585479459
1896-01-01,867.3741085847663
1897-01-01,869.7931202465552
1898-01-01,872.5570277004255
1899-01-01,875.7374955157861
1900-01-01,879.4
1901-01-01,883.5433894348747
1902-01-01,887.9
1903-01-01,892.2085752072679
1904-01-01,896.5
1905-01-01,900.8703277647201
1906-01-01,905.3
1907-01-01,909.7964607665308
1908-01-01,914.4
1909-01-01,919.1567987419745
1910-01-01,924.0
1911-01-01,928.9023238010075
1912-01-01,933.9
1913-01-01,939.0479337879187
1914-01-01,944.3
1915-01-01,949.6465207573787
1916-01-01,955.1
1917-01-01,960.6937001219834
1918-01-01,966.4
1919-01-01,972.2216586517013
1920-01-01,978.1
1921-01-01,983.998152407706
1922-01-01,989.9
1923-01-01,995.8429180682539
1924-01-01,1001.8
1925-01-01,1007.7463702264434
1926-01-01,1013.6
1927-01-01,1019.3416942640391
1928-01-01,1025.0
1929-01-01,1030.6273107033721
1930-01-01,1036.2
1931-01-01,1041.7298404293165
1932-01-01,1047.2
1933-01-01,1052.61815771415
1934-01-01,1058.0
1935-01-01,1063.3895976252306
1936-01-01,1068.7
1937-01-01,1073.8625116366984
1938-01-01,1078.9
1939-01-01,1083.9010651131475
1940-01-01,1088.9
1941-01-01,1093.9345812398503
1942-01-01,1099.0
1943-01-01,1104.1380703925884
1944-01-01,1109.4
1945-01-01,1114.865602339758
1946-01-01,1120.6
1947-01-01,1126.70409932945
1948-01-01,1133.2
1949-01-01,1140.124245203735
1950-01-01,1147.5
1951-01-01,1155.3988698574901
1952-01-01,1163.8
1953-01-01,1172.7042666844136
1954-01-01,1182.1
1955-01-01,1192.0323201527567
1956-01-01,1202.4
1957-01-01,1213.1328475081032
1958-01-01,1224.2
1959-01-01,1235.669636085357
1960-01-01,1247.5
1961-01-01,1259.6841216056887
1962-01-01,1272.2
1963-01-01,1285.1226476229053
1964-01-01,1298.4
1965-01-01,1312.0247368399878
1966-01-01,1326.0
1967-01-01,1340.439993232909
1968-01-01,1355.3
1969-01-01,1370.5441027427805
1970-01-01,1386.0
1971-01-01,1401.6418071962987
1972-01-01,1417.5
1973-01-01,1433.674062401319
1974-01-01,1450.1306076898497
1975-01-01,1466.9683013161555
1976-01-01,1484.2420140800396
1977-01-01,1502.056011536437
1978-01-01,1520.3679455811998
1979-01-01,1539.2806614939118
1980-01-01,1558.8490300743779
1981-01-01,1579.1845070336412
1982-01-01,1600.230965691035
1983-01-01,1622.0978397465528
1984-01-01,1644.84
1985-01-01,1657.29
1986-01-01,1670.09
1987-01-01,1682.7
1988-01-01,1693.21
1989-01-01,1704.52
1990-01-01,1714.47
1991-01-01,1724.76
1992-01-01,1735.48
1993-01-01,1736.48
1994-01-01,1742.05
1995-01-01,1748.88
1996-01-01,1751.3
1997-01-01,1754.51
1998-01-01,1765.53
1999-01-01,1772.3
2000-01-01,1773.22
2001-01-01,1771.29
2002-01-01,1772.66
2003-01-01,1777.33
2004-01-01,1777.02
2005-01-01,1774.25
2006-01-01,1774.94
2007-01-01,1781.38
2008-01-01,1787.01
2009-01-01,1793.54
2010-01-01,1798.89
2011-01-01,1803.08
2012-01-01,1808.12
2013-01-01,1813.43
2014-01-01,1822.54
2015-01-01,1834.21
2016-01-01,1843.12
2017-01-01,1849.58
2018-01-01,1857.34
2019-01-01,1866.58
2020-01-01,1878.72
2021-01-01,1894.8
2022-01-01,1910.92
2023-01-01,1921.7
2024-01-01,1932.4050257701217
2025-01-01,1943.9147551912808
2026-01-01,1956.166293567187
2027-01-01,1969.1900304398255
2028-01-01,1982.9859658091955
2029-01-01,1997.5950730750808
2030-01-01,2012.9375210502355
2031-01-01,2029.052167522123
2032-01-01,2045.9390124907418
2033-01-01,2063.647497601353
2034-01-01,2082.0808551757564
2035-01-01,2101.2864112468915
2036-01-01,2121.2641658147595
2037-01-01,2142.072028770097
2038-01-01,2163.596295943749
2039-01-01,2185.892761614133
2040-01-01,2208.96142578125
2041-01-01,2232.8115234375
2042-01-01,2256.91137695313
2043-01-01,2280.92138671875
2044-01-01,2304.84155273438
2045-01-01,2328.67138671875
2046-01-01,2352.41137695313
2047-01-01,2376.05151367188
2048-01-01,2399.61157226563
2049-01-01,2423.08154296875
2050-01-01,2446.45141601563
2051-01-01,2469.74145507813
2052-01-01,2492.02124023438
2053-01-01,2512.43115234375
2054-01-01,2531.11108398438
2055-01-01,2548.16088867188
2056-01-01,2563.69091796875
2057-01-01,2577.82080078125
2058-01-01,2590.63061523438
2059-01-01,2602.21069335938
2060-01-01,2612.640625
2061-01-01,2622.01049804688
2062-01-01,2630.41040039063
2063-01-01,2637.92041015625
2064-01-01,2644.60034179688
2065-01-01,2650.5302734375
2066-01-01,2655.74047851563
2067-01-01,2660.29028320313
2068-01-01,2664.23022460938
2069-01-01,2667.60034179688
2070-01-01,2670.43017578125
2071-01-01,2672.7802734375
2072-01-01,2674.2900390625
2073-01-01,2674.65014648438
2074-01-01,2673.94995117188
2075-01-01,2672.27001953125
2076-01-01,2669.69995117188
2077-01-01,2666.28979492188
2078-01-01,2662.10986328125
2079-01-01,2657.23974609375
2080-01-01,2651.7197265625
2081-01-01,2645.599609375
2082-01-01,2638.60961914063
2083-01-01,2630.4794921875
2084-01-01,2621.29956054688
2085-01-01,2611.16943359375
2086-01-01,2600.15942382813
2087-01-01,2588.34936523438
2088-01-01,2575.8193359375
2089-01-01,2562.61938476563
2090-01-01,2548.8193359375
2091-01-01,2534.46923828125
2092-01-01,2520.029296875
2093-01-01,2505.939453125
2094-01-01,2492.16943359375
2095-01-01,2478.70947265625
2096-01-01,2465.51928710938
2097-01-01,2452.609375
2098-01-01,2439.94946289063
2099-01-01,2427.529296875
